Entity,Code,Year,Self-harm,Exposure to forces of nature,Conflict and terrorism,Interpersonal violence,Neglected tropical diseases and malaria,Substance use disorders,Skin and subcutaneous diseases,Enteric infections,Diabetes and kidney diseases,Cardiovascular diseases,Digestive diseases,Nutritional deficiencies,Respiratory infections and tuberculosis,Neonatal disorders,Chronic respiratory diseases,Other non-communicable diseases,Maternal disorders,Unintentional injuries,Musculoskeletal disorders,Neoplasms,Mental disorders,Neurological disorders,HIV/AIDS and sexually transmitted infections,Transport injuries,Sense organ diseases
Afghanistan,AFG,1990,0.305873841,0.007185233,3.68898017,0.829298893,1.118337777,0.187689996,0.415665285,3.45879969,1.779317849,10.2234384,1.622300188,2.02079963,18.19904761,12.0231887,1.64018191,11.93743793,1.347937072,3.807512082,0.937570094,3.269980685,1.696670483,1.283453397,0.121301906,2.375831295,0.646458675
Albania,ALB,1990,0.727058706,0.003906364,0,1.340764168,0.205934699,0.812691271,1.6073385,1.473889022,1.786074299,14.9384652,3.378447277,1.727565492,15.60484977,8.740127989,2.564181549,7.29148089,0.217893786,7.617998246,4.265274497,8.203190226,4.34094201,4.160703498,0.133844969,3.332502638,1.65437205
Algeria,DZA,1992,0.870405468,0.054990965,0.360421778,0.432871069,0.234701059,0.427132089,1.162395359,2.710931203,2.31700192,14.86010914,1.762230832,1.624697611,5.873327519,16.27289169,1.788165652,13.83012096,0.97648301,5.070910247,3.071167034,3.879406565,4.730693789,2.981743294,0.215314715,8.926415991,1.429190889
American Samoa,ASM,1990,1.370136419,0,0,1.769322188,0.906831753,0.810316717,2.783561603,1.71986837,7.923787637,15.89077833,2.832200036,2.518641424,4.681245555,9.148343719,4.42008189,6.393186783,0.375741431,6.099719164,5.003497722,7.370611492,4.550356444,3.419115155,1.96793794,3.110849975,1.927680842
Andorra,AND,1990,2.217998876,0,0,0.386938013,0.014283726,2.027437563,2.996651499,0.274624956,2.382362092,11.62718968,2.998005732,0.502273656,1.50890196,1.391416676,4.482704879,7.277788734,0.025717624,5.001544948,10.59199975,21.07189629,9.629759712,6.088692819,0.624698059,4.420091867,1.838700805
Angola,AGO,1993,0.344512732,0,6.496319055,0.255949836,5.747405951,0.156793649,0.404109962,20.71293945,0.853600996,2.865682459,1.5001505,7.295176335,18.34777147,9.677085684,0.979316993,3.817680642,0.775991183,2.211349564,0.582965878,1.408204518,1.291706225,0.842521844,1.324125747,2.929994923,0.384118733
Antigua and Barbuda,ATG,1993,0.392453198,0.003152382,0.002937665,1.024508418,0.464574324,1.703957083,2.16816223,1.038275178,8.781567578,19.37634533,3.378505707,2.109104519,3.538923074,6.301723841,1.685671992,6.983693095,0.156293338,6.279629064,4.924888902,10.68431309,5.768496092,5.211234629,2.169667468,2.353007713,2.488175555
Argentina,ARG,1990,1.130410516,0.010886782,0.163586168,1.237655493,0.689299719,1.386740629,1.910032827,0.897179855,3.903920098,19.78365613,3.54743477,1.656355846,3.496757603,8.448434077,3.231774476,7.402757435,0.2917223,6.535305062,6.318621577,13.87955183,5.316918726,3.040201581,0.390208326,2.692652042,1.809589494
Armenia,ARM,1990,0.431043098,1.308726057,0.135457627,0.969977315,0.237443208,1.339543808,1.637628582,3.305503984,2.117212622,19.45476974,2.889071608,1.291367144,8.763123362,9.693451687,2.506051142,7.240053324,0.182762113,10.53027199,3.532310277,11.39015234,3.959784871,3.009950899,0.076023292,2.968603272,1.934180775
Australia,AUS,1990,2.460946049,0.01735931,0.002681509,0.728813873,0.031385422,2.514495837,2.316099971,0.175164836,2.461085565,20.12438569,2.437124007,0.433112023,1.164200762,2.27229971,5.272569197,6.695783844,0.050897254,6.26579496,8.457298769,16.01818121,8.738003226,4.65262604,0.467245469,3.8434335,2.125188652
Austria,AUT,1992,2.857509719,0.000653527,0.000250315,0.33401181,0.084408438,1.886271356,2.13098922,0.181119009,2.582049683,24.90947618,4.64246548,0.385611372,1.294297724,1.48149321,3.124184608,7.46735217,0.037908117,4.853585447,7.331694906,17.88152058,6.344819322,4.862915002,0.299307518,3.117095571,1.706422676
